timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
1681965147902875904,0.020240642130374908,-0.06178722158074379,0.092680834233760834,0.45659350989862496,9.2535521387725872,3.0845612371869149
1681965147917879296,0.06178722158074379,-0.036220096051692963,0.073505491018295288,0.47807416319847107,9.2284798942349067,2.9198792828841622
1681965147932883200,0.11824796348810196,0.0010652969358488917,0.075636081397533417,0.48937968302509982,9.2972502750068138,3.0084405672498606
1681965147952888320,0.054330144077539444,-0.017044750973582268,0.080962568521499634,0.51324400895376465,9.3128852844238281,3.0787978172302246
1681965147967891712,-0.028763018548488617,-0.055395439267158508,0.080962568521499634,0.54596364178732848,9.2980634489166682,2.8712934136773653
1681965147982895360,-0.019175345078110695,-0.049003656953573227,0.093746133148670197,0.56816394442159579,9.1985772782169821,2.6750974727671299
1681965147997898752,0.0085223754867911339,-0.0074570789001882076,0.084158465266227722,0.56131509699633098,9.2588931911619206,2.7188380704727244
1681965148012902400,0.036220096051692963,0.036220096051692963,0.070309601724147797,0.55456608533859253,9.4132382195373765,2.917784456594509
1681965148032907520,0.029828315600752831,0.0021305938716977835,0.098007313907146454,0.58635254221649635,9.1989137172301803,2.7989234271743424
1681965148047911168,0.014914157800376415,0.014914157800376415,0.093746133148670197,0.57814240139128481,8.9940823555304732,2.7096984609926049
1681965148062914816,0.055395439267158508,0.071374900639057159,0.05326484888792038,0.54679549909995573,8.9495487213134766,2.9652740270149391
1681965148077918464,0.089484944939613342,0.074570782482624054,0.020240642130374908,0.52322015267123412,9.0351091998212265,3.2621419392190942
1681965148097923328,0.044742472469806671,0.0053264847956597805,-0.02663242444396019,0.5332866781415101,9.1173425527018797,3.2638432138431841
1681965148112927232,-0.06178722158074379,-0.05006895586848259,-0.07670138031244278,0.51969927716925435,9.4050440769118957,2.8887970409240107
1681965148127930880,-0.074570782482624054,-0.036220096051692963,-0.090550236403942108,0.51632010936737061,9.7127210299883249,2.6949105794703199
1681965148142934528,-0.019175345078110695,0.0021305938716977835,-0.03835069015622139,0.50302427963955276,9.6978886330045633,2.6846841582349326
1681965148157937920,0.036220096051692963,0.04154658317565918,0.0095876725390553474,0.47305702483764478,9.4036272648026564,2.8291089313499254
1681965148177942784,0.02663242444396019,0.058591332286596298,-0.013848859816789627,0.4589512050151825,9.1546490924211383,3.1084253843915572
1681965148192946688,-0.0053264847956597805,0.02663242444396019,-0.073505491018295288,0.38101357538230629,9.452528477076795,3.1205791535311618
1681965148207950336,-0.010652969591319561,0.017044750973582268,-0.082027867436408997,0.36333635449409485,9.5519637966489341,3.1314068386490357
1681965148222953984,-0.029828315600752831,-0.011718266643583775,-0.086289048194885254,0.33705842804982511,9.640317653947978,2.9522210874609129
1681965148237957376,-0.021305939182639122,0.021305939182639122,-0.071374900639057159,0.31317627431203254,9.6881354914534779,2.963758468528642
